title,artist,priority,recognisability_0_10,qualification_basis,match_state,candidate_count,song_id,canonical_title,canonical_artist,answer_year,release_state,existing_modes,spotify_state,youtube_state
Pop Muzik,M,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Ring My Bell,Anita Ward,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Funkytown,Lipps Inc.,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Turning Japanese,The Vapors,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Pac-Man Fever,Buckner & Garcia,core,8,novelty one-hit identity,unmatched,0,,,,,,,missing,missing
Genius of Love,Tom Tom Club,core,9,one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Believe It or Not,Joey Scarbury,core,9,US technical / TV-theme cultural,unmatched,0,,,,,,,missing,missing
Mickey,Toni Basil,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
She Blinded Me with Science,Thomas Dolby,core,10,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
I Melt with You,Modern English,core,10,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Puttin' on the Ritz,Taco,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Der Kommissar,After the Fire,core,9,US technical / cultural,unmatched,0,,,,,,,missing,missing
Maniac,Michael Sembello,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Somebody's Watching Me,Rockwell,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
The Politics of Dancing,Re-Flex,core,8,international one-hit identity,unmatched,0,,,,,,,missing,missing
Tarzan Boy,Baltimora,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Rumors,Timex Social Club,core,8,US technical,unmatched,0,,,,,,,missing,missing
Pump Up the Volume,M|A|R|R|S,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
"Don't Worry, Be Happy",Bobby McFerrin,core,10,pop one-hit identity,unmatched,0,,,,,,,missing,missing
Waiting for a Star to Fall,Boy Meets Girl,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
The Promise,When in Rome,core,9,US technical / cultural,unmatched,0,,,,,,,missing,missing
She's Like the Wind,Patrick Swayze,core,10,recording-artist one-hit identity,unmatched,0,,,,,,,missing,missing
Bust a Move,Young MC,core,10,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Major Tom (Coming Home),Peter Schilling,core,9,US one-hit identity,unmatched,0,,,,,,,missing,missing
Key Largo,Bertie Higgins,core,8,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Into the Night,Benny Mardones,core,8,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Let It Whip,Dazz Band,core,8,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Forget Me Nots,Patrice Rushen,core,9,pop one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Just a Friend,Biz Markie,core,10,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Groove Is in the Heart,Deee-Lite,core,10,international one-hit identity,exact,1,song_d484922a70616a316d57,Groove Is in the Heart,Deee-Lite,1990,unresolved,unexpected,missing,missing
Turtle Power!,Partners in Kryme,core,8,international novelty one-hit identity,unmatched,0,,,,,,,missing,missing
Rico Suave,Gerardo,core,9,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Walking in Memphis,Marc Cohn,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Baby Got Back,Sir Mix-a-Lot,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Jump Around,House of Pain,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Would I Lie to You?,Charles & Eddie,core,9,US/AU one-hit identity; UK review still needed,unmatched,0,,,,,,,missing,missing
Rump Shaker,Wreckx-N-Effect,core,8,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
How Do You Talk to an Angel,The Heights,core,8,US technical / TV-project one-hit,unmatched,0,,,,,,,missing,missing
What's Up?,4 Non Blondes,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Whoomp! (There It Is),Tag Team,core,10,US one-mainstream-hit identity,exact,1,song_66d46918f675a9bf6c8a,Whoomp! (There It Is),Tag Team,1993,externally_observed,greatest,candidate,missing
Cantaloop (Flip Fantasia),Us3,core,9,international one-hit identity,unmatched,0,,,,,,,missing,missing
Here Comes the Hotstepper,Ini Kamoze,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
One of Us,Joan Osborne,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
I Wish,Skee-Lo,core,9,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Breakfast at Tiffany's,Deep Blue Something,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Macarena,Los del Río,core,10,global one-hit identity,exact,1,song_a99e74e4debf210d1a8c,Macarena,Los del Río,,unresolved,number1_au,missing,missing
Standing Outside a Broken Phone Booth with Money in My Hand,Primitive Radio Gods,core,8,US one-hit identity,unmatched,0,,,,,,,missing,missing
Your Woman,White Town,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Tubthumping,Chumbawamba,core,10,international pop one-hit identity,unmatched,0,,,,,,,missing,missing
Bitch,Meredith Brooks,core,10,international pop one-hit identity,unmatched,0,,,,,,,missing,missing
Sex and Candy,Marcy Playground,core,9,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Flagpole Sitta,Harvey Danger,core,9,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Save Tonight,Eagle-Eye Cherry,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Crush,Jennifer Paige,core,9,international one-hit identity,unmatched,0,,,,,,,missing,missing
You Get What You Give,New Radicals,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Steal My Sunshine,Len,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Mambo No. 5 (A Little Bit of...),Lou Bega,core,10,global one-hit identity,unmatched,0,,,,,,,missing,missing
She's So High,Tal Bachman,core,9,international one-hit identity,unmatched,0,,,,,,,missing,missing
How Bizarre,OMC,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Better Days (And the Bottom Drops Out),Citizen King,core,8,US one-hit identity,unmatched,0,,,,,,,missing,missing
Drinking in L.A.,Bran Van 3000,core,9,international one-hit identity,unmatched,0,,,,,,,missing,missing
Spaceman,Babylon Zoo,core,9,UK/AU one-hit identity,unmatched,0,,,,,,,missing,missing
The Freshmen,The Verve Pipe,core,9,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Coco Jamboo,Mr. President,core,9,international one-hit identity,unmatched,0,,,,,,,missing,missing
Teenage Dirtbag,Wheatus,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Who Let the Dogs Out,Baha Men,core,10,global one-hit identity,exact,1,song_aaefc66af032a876c18b,Who Let the Dogs Out,Baha Men,2000,externally_observed,greatest,missing,missing
Absolutely (Story of a Girl),Nine Days,core,9,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Butterfly,Crazy Town,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Groovejet (If This Ain't Love),Spiller,core,9,international one-hit identity,unmatched,0,,,,,,,missing,missing
Because I Got High,Afroman,core,10,international one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
The Ketchup Song (Aserejé),Las Ketchup,core,10,global one-hit identity,unmatched,0,,,,,,,missing,missing
Move Your Feet,Junior Senior,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Days Go By,Dirty Vegas,core,9,US/AU one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Turn Me On,Kevin Lyttle,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
"Never Leave You (Uh Oooh, Uh Oooh)",Lumidee,core,9,international one-hit identity,unmatched,0,,,,,,,missing,missing
Tipsy,J-Kwon,core,10,international one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Dragostea Din Tei,O-Zone,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
F**k It (I Don't Want You Back),Eamon,core,9,international one-hit identity,unmatched,0,,,,,,,missing,missing
F.U.R.B. (F U Right Back),Frankee,core,8,answer-record one-hit identity,unmatched,0,,,,,,,missing,missing
Collide,Howie Day,core,9,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Bad Day,Daniel Powter,core,10,international one-hit identity,exact,1,song_687ea4322628b43e827b,Bad Day,Daniel Powter,2006,unresolved,greatest;number1_us,candidate,missing
JCB Song,Nizlopi,core,8,UK one-hit identity,unmatched,0,,,,,,,missing,missing
I Like the Way,BodyRockers,core,9,AU/UK one-hit identity,unmatched,0,,,,,,,missing,missing
Listen to Your Heart,DHT feat. Edmée,core,9,international one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Party Like a Rockstar,Shop Boyz,core,9,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Lip Gloss,Lil Mama,core,9,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
According to You,Orianthi,core,9,international one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
I Love College,Asher Roth,core,9,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Jerk It Out,Caesars,core,9,international one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
We No Speak Americano,Yolanda Be Cool & DCUP,core,10,global one-hit identity,unmatched,0,,,,,,,missing,missing
Stereo Love,Edward Maya & Vika Jigulina,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Barbra Streisand,Duck Sauce,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Teach Me How to Dougie,Cali Swag District,core,9,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Friday,Rebecca Black,core,10,viral one-hit identity,unmatched,0,,,,,,,missing,missing
Mr. Saxobeat,Alexandra Stan,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Too Close,Alex Clare,core,9,international one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Sail,AWOLNATION,core,10,international one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Harlem Shake,Baauer,core,10,global one-hit identity,unmatched,0,,,,,,,missing,missing
Safe and Sound,Capital Cities,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Let Her Go,Passenger,core,10,global one-hit identity,exact,1,song_7cef6a9a2cf69bacd46c,Let Her Go,Passenger,2012,externally_observed,greatest,candidate,candidate
Waves,Mr. Probz,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Hideaway,Kiesza,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Am I Wrong,Nico & Vinz,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Watch Me (Whip / Nae Nae),Silentó,core,10,global one-hit identity,unmatched,0,,,,,,,missing,missing
Lost Boy,Ruth B.,core,9,international one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
"i hate u, i love u",gnash feat. Olivia O'Brien,core,9,international one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Gucci Gang,Lil Pump,core,10,international one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Mo Bamba,Sheck Wes,core,10,international one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Roxanne,Arizona Zervas,core,10,international one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Trampoline,SHAED,core,9,international one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Astronaut in the Ocean,Masked Wolf,core,10,global one-hit identity,unmatched,0,,,,,,,missing,missing
Rude,MAGIC!,core,10,international one-mainstream-hit identity,exact,1,song_e1353bed6ebd2484d3b2,Rude,Magic!,2013,externally_observed,greatest,candidate,missing
Hooked on a Feeling,Blue Swede,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Black Betty,Ram Jam,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Sh-Boom,The Chords,expansion,8,US technical / cultural,exact,1,song_355f5f21dacb7d404a3b,Sh-Boom,The Chords,1954,externally_observed,greatest,missing,missing
At My Front Door (Crazy Little Mama),The El Dorados,expansion,7,US technical,unmatched,0,,,,,,,missing,missing
Hushabye,The Mystics,expansion,7,US technical,unmatched,0,,,,,,,missing,missing
Bongo Rock,Preston Epps,expansion,7,US technical,unmatched,0,,,,,,,missing,missing
Stay,Maurice Williams & the Zodiacs,expansion,8,US technical / cultural,unmatched,0,,,,,,,missing,missing
Angel Baby,Rosie and the Originals,expansion,8,US technical / cultural,unmatched,0,,,,,,,missing,missing
There's a Moon Out Tonight,The Capris,expansion,7,US technical,unmatched,0,,,,,,,missing,missing
Alley-Oop,The Hollywood Argyles,expansion,7,US technical / novelty,unmatched,0,,,,,,,missing,missing
Mule Skinner Blues,The Fendermen,expansion,6,US technical,unmatched,0,,,,,,,missing,missing
Something in the Air,Thunderclap Newman,expansion,8,international one-hit identity,unmatched,0,,,,,,,missing,missing
Take a Letter Maria,R. B. Greaves,expansion,8,US technical,unmatched,0,,,,,,,missing,missing
Smile a Little Smile for Me,The Flying Machine,expansion,7,US technical,unmatched,0,,,,,,,missing,missing
Ma Belle Amie,Tee Set,expansion,7,US technical,unmatched,0,,,,,,,missing,missing
The Rapper,The Jaggerz,expansion,7,US technical,unmatched,0,,,,,,,missing,missing
My Baby Loves Lovin',White Plains,expansion,7,US technical,unmatched,0,,,,,,,missing,missing
Gimme Dat Ding,The Pipkins,expansion,7,international novelty one-hit identity,unmatched,0,,,,,,,missing,missing
Indiana Wants Me,R. Dean Taylor,expansion,8,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Montego Bay,Bobby Bloom,expansion,8,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Yellow River,Christie,expansion,8,international one-hit identity,unmatched,0,,,,,,,missing,missing
Ariel,Dean Friedman,expansion,7,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Music Box Dancer,Frank Mills,expansion,8,international one-hit identity,unmatched,0,,,,,,,missing,missing
Makin' It,David Naughton,expansion,7,US technical / actor recording identity,unmatched,0,,,,,,,missing,missing
The Mummer's Dance,Loreena McKennitt,expansion,8,US one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Telstar,The Tornados,review,9,US one-hit but UK follow-up hits; market-dependent,exact,1,song_c364be92b3e40400461f,Telstar,The Tornados,1962,externally_observed,greatest;unexpected,missing,missing
Venus,Shocking Blue,review,10,US one-hit but European catalogue/follow-ups; market-dependent,unmatched,0,,,,,,,missing,missing
Israelites,Desmond Dekker & the Aces,review,9,US one-hit but multiple UK hits; likely reject for broad definition,unmatched,0,,,,,,,missing,missing
"Sugar, Sugar",The Archies,review,10,"often called OHW, but Jingle Jangle also US Top 10; likely reject",exact,1,song_59dc078ea4e90bdc7547,"Sugar, Sugar",The Archies,1969,externally_observed,greatest;number1_us,candidate,missing
Lovin' You,Minnie Riperton,review,10,iconic dominant hit but meaningful secondary catalogue,unmatched,0,,,,,,,missing,missing
Video Killed the Radio Star,The Buggles,review,10,US one-hit; UK second hit and broader cultural identity,unmatched,0,,,,,,,missing,missing
Whip It,Devo,review,10,"US one-hit by strict Top 40, but substantial recognised catalogue",unmatched,0,,,,,,,missing,missing
Come On Eileen,Dexys Midnight Runners,review,10,US one-hit but major UK multi-hit act,exact,1,song_db737420ffde8c915426,Come On Eileen,Dexys Midnight Runners,1982,externally_observed,greatest,missing,missing
99 Luftballons,Nena,review,10,English-language market one-hit identity but major German catalogue,exact,1,song_dfcbd8f3d0301655986e,99 Luftballons,Nena,1983,externally_observed,greatest,missing,missing
Walk the Dinosaur,Was (Not Was),review,9,one dominant pop hit but recognised secondary catalogue,unmatched,0,,,,,,,missing,missing
So Alive,Love and Rockets,review,9,US one-mainstream-hit case but established alternative catalogue,unmatched,0,,,,,,,missing,missing
Toy Soldiers,Martika,review,10,multiple chart hits in several markets,unmatched,0,,,,,,,missing,missing
Black Velvet,Alannah Myles,review,10,dominant global hit but follow-up hits in Canada/Australia,unmatched,0,,,,,,,missing,missing
Buffalo Stance,Neneh Cherry,review,10,US one-hit framing conflicts with multiple UK/European hits,exact,1,song_41ba25ac2033efbd4805,Buffalo Stance,Neneh Cherry,1988,externally_observed,greatest,missing,missing
Break My Stride,Matthew Wilder,review,10,one dominant hit but had another US Top 40 entry,unmatched,0,,,,,,,missing,missing
What Is Love,Haddaway,review,10,US one-hit but multiple major European/UK hits,unmatched,0,,,,,,,missing,missing
Mmm Mmm Mmm Mmm,Crash Test Dummies,review,10,US one-hit but multiple Canadian/UK/AU-recognised songs,unmatched,0,,,,,,,missing,missing
Cotton Eye Joe,Rednex,review,10,dominant international hit but follow-up success in Europe,unmatched,0,,,,,,,missing,missing
Brimful of Asha,Cornershop,review,10,one dominant chart hit; broader UK indie recognition,unmatched,0,,,,,,,missing,missing
Closing Time,Semisonic,review,10,US one-hit framing; Secret Smile was a UK hit,exact,1,song_23d5d7286ff6aa85a5ae,Closing Time,Semisonic,1998,externally_observed,greatest,missing,missing
There She Goes,The La's,review,10,one iconic song but band has cult catalogue; classification subjective,unmatched,0,,,,,,,missing,missing
No Rain,Blind Melon,review,10,one mainstream hit but substantial rock recognition,unmatched,0,,,,,,,missing,missing
Blue (Da Ba Dee),Eiffel 65,review,10,US one-hit but Move Your Body was a major international hit,unmatched,0,,,,,,,missing,missing
Wherever You Will Go,The Calling,review,10,dominant hit but Adrienne had material international success,unmatched,0,,,,,,,missing,missing
Stacy's Mom,Fountains of Wayne,review,10,one mainstream hit but established power-pop catalogue,unmatched,0,,,,,,,missing,missing
The Reason,Hoobastank,review,10,dominant crossover hit but Crawling in the Dark was substantial,exact,1,song_bbc9a4bd4539cafd0010,The Reason,Hoobastank,2003,externally_observed,greatest,candidate,candidate
An Honest Mistake,The Bravery,review,9,one dominant song but alternative-chart catalogue,unmatched,0,,,,,,,missing,missing
Young Folks,Peter Bjorn and John,review,10,one global crossover hit but established indie catalogue,unmatched,0,,,,,,,missing,missing
Here It Goes Again,OK Go,review,10,one giant viral hit but Get Over It and broader catalogue are known,unmatched,0,,,,,,,missing,missing
Paper Planes,M.I.A.,review,10,US breakout hit but Bad Girls and broader catalogue make OHW label weak,unmatched,0,,,,,,,missing,missing
American Boy,Estelle feat. Kanye West,review,10,US one-hit framing but Estelle had UK hits,relaxed_artist,1,song_f29e1e6d863e94fcc6f3,American Boy,Estelle,2007,externally_observed,greatest,candidate,candidate
Fireflies,Owl City,review,10,huge solo hit but Good Time was another global hit,exact,1,song_d251c59a517dcaaa4865,Fireflies,Owl City,2009,externally_observed,greatest,candidate,candidate
That's Not My Name,The Ting Tings,review,10,US one-hit framing but multiple UK/AU hits,unmatched,0,,,,,,,missing,missing
Replay,Iyaz,review,10,dominant hit but follow-up chart activity,unmatched,0,,,,,,,missing,missing
Sweet Disposition,The Temper Trap,review,10,global signature song but Australian band has other recognised singles,unmatched,0,,,,,,,missing,missing
Pumped Up Kicks,Foster the People,review,10,dominant breakout but later recognised hits including Sit Next to Me,exact,1,song_158d73d8bb3d7d6e77f7,Pumped Up Kicks,Foster the People,2010,externally_observed,greatest,candidate,candidate
Somebody That I Used to Know,Gotye feat. Kimbra,review,10,global signature song but Gotye had established Australian hits,exact,1,song_1201a3de0fc5cbf4cab4,Somebody That I Used to Know,Gotye feat. Kimbra,2011,externally_observed,australian;greatest;number1_us,candidate,candidate
Little Talks,Of Monsters and Men,review,10,dominant crossover hit but multiple recognised follow-ups,unmatched,0,,,,,,,missing,missing
7 Years,Lukas Graham,review,10,dominant global hit but Love Someone was a later hit,unmatched,0,,,,,,,missing,missing
Feel It Still,Portugal. The Man,review,10,one dominant pop hit but established alternative catalogue,exact,1,song_f507e5edc0337d76928c,Feel It Still,Portugal. The Man,2017,externally_observed,greatest;unexpected,missing,missing
Stolen Dance,Milky Chance,review,10,one dominant global hit but follow-ups had material success,unmatched,0,,,,,,,missing,missing
Shut Up and Dance,WALK THE MOON,review,10,one dominant global hit but Anna Sun and later songs are recognised,exact,1,song_146072a7c39f2f86cbd1,Shut Up and Dance,Walk the Moon,2014,externally_observed,greatest,candidate,candidate
This Girl,Kungs vs Cookin' on 3 Burners,review,9,one global crossover hit but Kungs had other European hits,unmatched,0,,,,,,,missing,missing
Take on Me,a-ha,review,10,classic US OHW misconception; The Sun Always Shines on T.V. also US Top 20,unmatched,0,,,,,,,missing,missing
My Sharona,The Knack,review,10,dominant hit but Good Girls Don't was also a US Top 20 hit,exact,1,song_b6dfd0f3550738a8dc89,My Sharona,The Knack,1979,externally_observed,greatest;number1_us,candidate,missing
I'm Too Sexy,Right Said Fred,review,10,US one-hit framing but Don't Talk Just Kiss / Deeply Dippy were UK hits,unmatched,0,,,,,,,missing,missing
I'm Gonna Be (500 Miles),The Proclaimers,review,10,US one-hit framing but multiple major UK/Australian-recognised songs,unmatched,0,,,,,,,missing,missing
Nothing Compares 2 U,Sinéad O'Connor,review,10,US one-hit framing is misleading given major international career,unmatched,0,,,,,,,missing,missing
Epic,Faith No More,review,9,US Top-40 technical framing is misleading for a major rock act,unmatched,0,,,,,,,missing,missing
death bed (coffee for your head),Powfu feat. beabadoobee,review_recent,9,recent; Powfu one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Whoopty,CJ,review_recent,8,recent one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Mad at Disney,salem ilese,review_recent,8,recent one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Wellerman (Sea Shanty),Nathan Evans,review_recent,9,recent one-global-hit identity,unmatched,0,,,,,,,missing,missing
abcdefu,GAYLE,review_recent,10,recent one-global-hit identity,unmatched,0,,,,,,,missing,missing
Sunroof,Nicky Youre & dazy,review_recent,9,too recent for durable OHW classification,relaxed_artist,1,song_8d760a9edb56e68beeb9,Sunroof,Nicky Youre,2021,externally_observed,greatest,candidate,candidate
Until I Found You,Stephen Sanchez,review_recent,10,too recent for durable OHW classification,unmatched,0,,,,,,,missing,missing
