title,artist,priority,recognisability_0_10,qualification_basis
Brandy (You're a Fine Girl),Looking Glass,core,10,US technical / cultural
Dueling Banjos,Eric Weissberg & Steve Mandell,core,9,US technical / cultural
Brother Louie,Stories,core,8,US technical
The Night the Lights Went Out in Georgia,Vicki Lawrence,core,9,US technical / cultural
Kung Fu Fighting,Carl Douglas,core,10,international one-hit identity
Seasons in the Sun,Terry Jacks,core,10,international one-hit identity
Beach Baby,The First Class,core,8,international one-hit identity
The Night Chicago Died,Paper Lace,core,9,US one-hit identity
The Hustle,Van McCoy,core,10,US technical / cultural
Afternoon Delight,Starland Vocal Band,core,10,US technical / cultural
Play That Funky Music,Wild Cherry,core,10,US technical / cultural
Fooled Around and Fell in Love,Elvin Bishop,core,9,one-mainstream-hit identity
Undercover Angel,Alan O'Day,core,8,US technical
Jeans On,David Dundas,core,8,international one-hit identity
Magnet and Steel,Walter Egan,core,8,US technical
Hot Child in the City,Nick Gilder,core,9,US technical
King Tut,Steve Martin,core,8,novelty one-hit recording artist
Driver's Seat,Sniff 'n' the Tears,core,9,international one-hit identity
Born to Be Alive,Patrick Hernandez,core,10,international one-hit identity
Pop Muzik,M,core,10,international one-hit identity
Ring My Bell,Anita Ward,core,10,international one-hit identity
Funkytown,Lipps Inc.,core,10,international one-hit identity
Turning Japanese,The Vapors,core,10,international one-hit identity
Pac-Man Fever,Buckner & Garcia,core,8,novelty one-hit identity
Genius of Love,Tom Tom Club,core,9,one-mainstream-hit identity
Believe It or Not,Joey Scarbury,core,9,US technical / TV-theme cultural
Mickey,Toni Basil,core,10,international one-hit identity
She Blinded Me with Science,Thomas Dolby,core,10,US one-mainstream-hit identity
I Melt with You,Modern English,core,10,US one-mainstream-hit identity
Puttin' on the Ritz,Taco,core,10,international one-hit identity
Der Kommissar,After the Fire,core,9,US technical / cultural
Maniac,Michael Sembello,core,10,international one-hit identity
Somebody's Watching Me,Rockwell,core,10,international one-hit identity
The Politics of Dancing,Re-Flex,core,8,international one-hit identity
Tarzan Boy,Baltimora,core,10,international one-hit identity
Rumors,Timex Social Club,core,8,US technical
Pump Up the Volume,M|A|R|R|S,core,10,international one-hit identity
"Don't Worry, Be Happy",Bobby McFerrin,core,10,pop one-hit identity
Waiting for a Star to Fall,Boy Meets Girl,core,10,international one-hit identity
The Promise,When in Rome,core,9,US technical / cultural
She's Like the Wind,Patrick Swayze,core,10,recording-artist one-hit identity
Bust a Move,Young MC,core,10,US one-mainstream-hit identity
Major Tom (Coming Home),Peter Schilling,core,9,US one-hit identity
Key Largo,Bertie Higgins,core,8,US one-mainstream-hit identity
Into the Night,Benny Mardones,core,8,US one-mainstream-hit identity
Let It Whip,Dazz Band,core,8,US one-mainstream-hit identity
Forget Me Nots,Patrice Rushen,core,9,pop one-mainstream-hit identity
Just a Friend,Biz Markie,core,10,US one-mainstream-hit identity
Groove Is in the Heart,Deee-Lite,core,10,international one-hit identity
Turtle Power!,Partners in Kryme,core,8,international novelty one-hit identity
Rico Suave,Gerardo,core,9,US one-mainstream-hit identity
Walking in Memphis,Marc Cohn,core,10,international one-hit identity
Baby Got Back,Sir Mix-a-Lot,core,10,international one-hit identity
Jump Around,House of Pain,core,10,international one-hit identity
Would I Lie to You?,Charles & Eddie,core,9,US/AU one-hit identity; UK review still needed
Rump Shaker,Wreckx-N-Effect,core,8,US one-mainstream-hit identity
How Do You Talk to an Angel,The Heights,core,8,US technical / TV-project one-hit
What's Up?,4 Non Blondes,core,10,international one-hit identity
Whoomp! (There It Is),Tag Team,core,10,US one-mainstream-hit identity
Cantaloop (Flip Fantasia),Us3,core,9,international one-hit identity
Here Comes the Hotstepper,Ini Kamoze,core,10,international one-hit identity
One of Us,Joan Osborne,core,10,international one-hit identity
I Wish,Skee-Lo,core,9,US one-mainstream-hit identity
Breakfast at Tiffany's,Deep Blue Something,core,10,international one-hit identity
Macarena,Los del Río,core,10,global one-hit identity
Standing Outside a Broken Phone Booth with Money in My Hand,Primitive Radio Gods,core,8,US one-hit identity
Your Woman,White Town,core,10,international one-hit identity
Tubthumping,Chumbawamba,core,10,international pop one-hit identity
Bitch,Meredith Brooks,core,10,international pop one-hit identity
Sex and Candy,Marcy Playground,core,9,US one-mainstream-hit identity
Flagpole Sitta,Harvey Danger,core,9,US one-mainstream-hit identity
Save Tonight,Eagle-Eye Cherry,core,10,international one-hit identity
Crush,Jennifer Paige,core,9,international one-hit identity
You Get What You Give,New Radicals,core,10,international one-hit identity
Steal My Sunshine,Len,core,10,international one-hit identity
Mambo No. 5 (A Little Bit of...),Lou Bega,core,10,global one-hit identity
She's So High,Tal Bachman,core,9,international one-hit identity
How Bizarre,OMC,core,10,international one-hit identity
Better Days (And the Bottom Drops Out),Citizen King,core,8,US one-hit identity
Drinking in L.A.,Bran Van 3000,core,9,international one-hit identity
Spaceman,Babylon Zoo,core,9,UK/AU one-hit identity
The Freshmen,The Verve Pipe,core,9,US one-mainstream-hit identity
Coco Jamboo,Mr. President,core,9,international one-hit identity
Teenage Dirtbag,Wheatus,core,10,international one-hit identity
Who Let the Dogs Out,Baha Men,core,10,global one-hit identity
Absolutely (Story of a Girl),Nine Days,core,9,US one-mainstream-hit identity
Butterfly,Crazy Town,core,10,international one-hit identity
Groovejet (If This Ain't Love),Spiller,core,9,international one-hit identity
Because I Got High,Afroman,core,10,international one-mainstream-hit identity
The Ketchup Song (Aserejé),Las Ketchup,core,10,global one-hit identity
Move Your Feet,Junior Senior,core,10,international one-hit identity
Days Go By,Dirty Vegas,core,9,US/AU one-mainstream-hit identity
Turn Me On,Kevin Lyttle,core,10,international one-hit identity
"Never Leave You (Uh Oooh, Uh Oooh)",Lumidee,core,9,international one-hit identity
Tipsy,J-Kwon,core,10,international one-mainstream-hit identity
Dragostea Din Tei,O-Zone,core,10,international one-hit identity
F**k It (I Don't Want You Back),Eamon,core,9,international one-hit identity
F.U.R.B. (F U Right Back),Frankee,core,8,answer-record one-hit identity
Collide,Howie Day,core,9,US one-mainstream-hit identity
Bad Day,Daniel Powter,core,10,international one-hit identity
JCB Song,Nizlopi,core,8,UK one-hit identity
I Like the Way,BodyRockers,core,9,AU/UK one-hit identity
Listen to Your Heart,DHT feat. Edmée,core,9,international one-mainstream-hit identity
Party Like a Rockstar,Shop Boyz,core,9,US one-mainstream-hit identity
Lip Gloss,Lil Mama,core,9,US one-mainstream-hit identity
According to You,Orianthi,core,9,international one-mainstream-hit identity
I Love College,Asher Roth,core,9,US one-mainstream-hit identity
Jerk It Out,Caesars,core,9,international one-mainstream-hit identity
We No Speak Americano,Yolanda Be Cool & DCUP,core,10,global one-hit identity
Stereo Love,Edward Maya & Vika Jigulina,core,10,international one-hit identity
Barbra Streisand,Duck Sauce,core,10,international one-hit identity
Teach Me How to Dougie,Cali Swag District,core,9,US one-mainstream-hit identity
Friday,Rebecca Black,core,10,viral one-hit identity
Mr. Saxobeat,Alexandra Stan,core,10,international one-hit identity
Too Close,Alex Clare,core,9,international one-mainstream-hit identity
Sail,AWOLNATION,core,10,international one-mainstream-hit identity
Harlem Shake,Baauer,core,10,global one-hit identity
Safe and Sound,Capital Cities,core,10,international one-hit identity
Let Her Go,Passenger,core,10,global one-hit identity
Waves,Mr. Probz,core,10,international one-hit identity
Hideaway,Kiesza,core,10,international one-hit identity
Am I Wrong,Nico & Vinz,core,10,international one-hit identity
Watch Me (Whip / Nae Nae),Silentó,core,10,global one-hit identity
Lost Boy,Ruth B.,core,9,international one-mainstream-hit identity
"i hate u, i love u",gnash feat. Olivia O'Brien,core,9,international one-mainstream-hit identity
Gucci Gang,Lil Pump,core,10,international one-mainstream-hit identity
Mo Bamba,Sheck Wes,core,10,international one-mainstream-hit identity
Roxanne,Arizona Zervas,core,10,international one-mainstream-hit identity
Trampoline,SHAED,core,9,international one-mainstream-hit identity
Astronaut in the Ocean,Masked Wolf,core,10,global one-hit identity
Rude,MAGIC!,core,10,international one-mainstream-hit identity
Hooked on a Feeling,Blue Swede,core,10,international one-hit identity
Black Betty,Ram Jam,core,10,international one-hit identity
Sh-Boom,The Chords,expansion,8,US technical / cultural
At My Front Door (Crazy Little Mama),The El Dorados,expansion,7,US technical
Hushabye,The Mystics,expansion,7,US technical
Bongo Rock,Preston Epps,expansion,7,US technical
Stay,Maurice Williams & the Zodiacs,expansion,8,US technical / cultural
Angel Baby,Rosie and the Originals,expansion,8,US technical / cultural
There's a Moon Out Tonight,The Capris,expansion,7,US technical
Alley-Oop,The Hollywood Argyles,expansion,7,US technical / novelty
Mule Skinner Blues,The Fendermen,expansion,6,US technical
Something in the Air,Thunderclap Newman,expansion,8,international one-hit identity
Take a Letter Maria,R. B. Greaves,expansion,8,US technical
Smile a Little Smile for Me,The Flying Machine,expansion,7,US technical
Ma Belle Amie,Tee Set,expansion,7,US technical
The Rapper,The Jaggerz,expansion,7,US technical
My Baby Loves Lovin',White Plains,expansion,7,US technical
Gimme Dat Ding,The Pipkins,expansion,7,international novelty one-hit identity
Indiana Wants Me,R. Dean Taylor,expansion,8,US one-mainstream-hit identity
Montego Bay,Bobby Bloom,expansion,8,US one-mainstream-hit identity
Yellow River,Christie,expansion,8,international one-hit identity
Ariel,Dean Friedman,expansion,7,US one-mainstream-hit identity
Music Box Dancer,Frank Mills,expansion,8,international one-hit identity
Makin' It,David Naughton,expansion,7,US technical / actor recording identity
The Mummer's Dance,Loreena McKennitt,expansion,8,US one-mainstream-hit identity
Telstar,The Tornados,review,9,US one-hit but UK follow-up hits; market-dependent
Venus,Shocking Blue,review,10,US one-hit but European catalogue/follow-ups; market-dependent
Israelites,Desmond Dekker & the Aces,review,9,US one-hit but multiple UK hits; likely reject for broad definition
"Sugar, Sugar",The Archies,review,10,"often called OHW, but Jingle Jangle also US Top 10; likely reject"
Lovin' You,Minnie Riperton,review,10,iconic dominant hit but meaningful secondary catalogue
Video Killed the Radio Star,The Buggles,review,10,US one-hit; UK second hit and broader cultural identity
Whip It,Devo,review,10,"US one-hit by strict Top 40, but substantial recognised catalogue"
Come On Eileen,Dexys Midnight Runners,review,10,US one-hit but major UK multi-hit act
99 Luftballons,Nena,review,10,English-language market one-hit identity but major German catalogue
Walk the Dinosaur,Was (Not Was),review,9,one dominant pop hit but recognised secondary catalogue
So Alive,Love and Rockets,review,9,US one-mainstream-hit case but established alternative catalogue
Toy Soldiers,Martika,review,10,multiple chart hits in several markets
Black Velvet,Alannah Myles,review,10,dominant global hit but follow-up hits in Canada/Australia
Buffalo Stance,Neneh Cherry,review,10,US one-hit framing conflicts with multiple UK/European hits
Break My Stride,Matthew Wilder,review,10,one dominant hit but had another US Top 40 entry
What Is Love,Haddaway,review,10,US one-hit but multiple major European/UK hits
Mmm Mmm Mmm Mmm,Crash Test Dummies,review,10,US one-hit but multiple Canadian/UK/AU-recognised songs
Cotton Eye Joe,Rednex,review,10,dominant international hit but follow-up success in Europe
Brimful of Asha,Cornershop,review,10,one dominant chart hit; broader UK indie recognition
Closing Time,Semisonic,review,10,US one-hit framing; Secret Smile was a UK hit
There She Goes,The La's,review,10,one iconic song but band has cult catalogue; classification subjective
No Rain,Blind Melon,review,10,one mainstream hit but substantial rock recognition
Blue (Da Ba Dee),Eiffel 65,review,10,US one-hit but Move Your Body was a major international hit
Wherever You Will Go,The Calling,review,10,dominant hit but Adrienne had material international success
Stacy's Mom,Fountains of Wayne,review,10,one mainstream hit but established power-pop catalogue
The Reason,Hoobastank,review,10,dominant crossover hit but Crawling in the Dark was substantial
An Honest Mistake,The Bravery,review,9,one dominant song but alternative-chart catalogue
Young Folks,Peter Bjorn and John,review,10,one global crossover hit but established indie catalogue
Here It Goes Again,OK Go,review,10,one giant viral hit but Get Over It and broader catalogue are known
Paper Planes,M.I.A.,review,10,US breakout hit but Bad Girls and broader catalogue make OHW label weak
American Boy,Estelle feat. Kanye West,review,10,US one-hit framing but Estelle had UK hits
Fireflies,Owl City,review,10,huge solo hit but Good Time was another global hit
That's Not My Name,The Ting Tings,review,10,US one-hit framing but multiple UK/AU hits
Replay,Iyaz,review,10,dominant hit but follow-up chart activity
Sweet Disposition,The Temper Trap,review,10,global signature song but Australian band has other recognised singles
Pumped Up Kicks,Foster the People,review,10,dominant breakout but later recognised hits including Sit Next to Me
Somebody That I Used to Know,Gotye feat. Kimbra,review,10,global signature song but Gotye had established Australian hits
Little Talks,Of Monsters and Men,review,10,dominant crossover hit but multiple recognised follow-ups
7 Years,Lukas Graham,review,10,dominant global hit but Love Someone was a later hit
Feel It Still,Portugal. The Man,review,10,one dominant pop hit but established alternative catalogue
Stolen Dance,Milky Chance,review,10,one dominant global hit but follow-ups had material success
Shut Up and Dance,WALK THE MOON,review,10,one dominant global hit but Anna Sun and later songs are recognised
This Girl,Kungs vs Cookin' on 3 Burners,review,9,one global crossover hit but Kungs had other European hits
Take on Me,a-ha,review,10,classic US OHW misconception; The Sun Always Shines on T.V. also US Top 20
My Sharona,The Knack,review,10,dominant hit but Good Girls Don't was also a US Top 20 hit
I'm Too Sexy,Right Said Fred,review,10,US one-hit framing but Don't Talk Just Kiss / Deeply Dippy were UK hits
I'm Gonna Be (500 Miles),The Proclaimers,review,10,US one-hit framing but multiple major UK/Australian-recognised songs
Nothing Compares 2 U,Sinéad O'Connor,review,10,US one-hit framing is misleading given major international career
Epic,Faith No More,review,9,US Top-40 technical framing is misleading for a major rock act
death bed (coffee for your head),Powfu feat. beabadoobee,review_recent,9,recent; Powfu one-mainstream-hit identity
Whoopty,CJ,review_recent,8,recent one-mainstream-hit identity
Mad at Disney,salem ilese,review_recent,8,recent one-mainstream-hit identity
Wellerman (Sea Shanty),Nathan Evans,review_recent,9,recent one-global-hit identity
abcdefu,GAYLE,review_recent,10,recent one-global-hit identity
Sunroof,Nicky Youre & dazy,review_recent,9,too recent for durable OHW classification
Until I Found You,Stephen Sanchez,review_recent,10,too recent for durable OHW classification
