answer_year,work_title,audio_title,audio_credit,relationship,priority,recognisability_0_10
1984,Ghostbusters,Ghostbusters,Ray Parker Jr.,title-song,core,10
1984,The NeverEnding Story,The NeverEnding Story,Limahl,title-song,core,9
1984,The Terminator,Main Title,Brad Fiedel,main-theme,core,10
1985,Back to the Future,Back to the Future,Alan Silvestri,main-theme,core,10
1985,Rocky IV,Burning Heart,Survivor,signature-song,expansion,8
1985,The Breakfast Club,Don't You (Forget About Me),Simple Minds,signature-song,core,10
1986,Crocodile Dundee,Main Title,Peter Best,main-theme,expansion,8
1986,The Mission,Gabriel's Oboe,Ennio Morricone,signature-score,core,9
1986,Top Gun,Danger Zone,Kenny Loggins,signature-song,core,10
1987,Dirty Dancing,(I've Had) The Time of My Life,Bill Medley & Jennifer Warnes,signature-song,core,10
1987,The Lost Boys,Cry Little Sister,Gerard McMann,signature-song,expansion,8
1988,Rain Man,Leaving Wallbrook / Main Theme,Hans Zimmer,main-theme,expansion,7
1989,Batman,The Batman Theme,Danny Elfman,main-theme,core,10
1989,The Little Mermaid,Under the Sea,Samuel E. Wright,signature-song,core,10
1990,Edward Scissorhands,Ice Dance,Danny Elfman,signature-score,expansion,8
1990,Ghost,Unchained Melody,The Righteous Brothers,signature-song,core,10
1990,Home Alone,Somewhere in My Memory,John Williams,main-theme,core,10
1991,Beauty and the Beast,Beauty and the Beast,Angela Lansbury,title-song,core,10
1991,Terminator 2: Judgment Day,Main Title,Brad Fiedel,main-theme,core,10
1992,Aladdin,A Whole New World,Brad Kane & Lea Salonga,signature-song,core,10
1992,The Bodyguard,I Will Always Love You,Whitney Houston,signature-song,core,10
1992,The Last of the Mohicans,Promentory,Trevor Jones,signature-score,core,9
1993,Jurassic Park,Theme from Jurassic Park,John Williams,main-theme,core,10
1993,Schindler's List,Theme from Schindler's List,John Williams / Itzhak Perlman,main-theme,core,10
1993,The Nightmare Before Christmas,This Is Halloween,Danny Elfman / Cast,signature-song,core,9
1994,Forrest Gump,Forrest Gump Suite,Alan Silvestri,main-theme,core,9
1994,Pulp Fiction,Misirlou,Dick Dale & His Del-Tones,signature-song,core,10
1994,The Lion King,Circle of Life,Carmen Twillie & Lebo M,signature-song,core,10
1995,Braveheart,For the Love of a Princess,James Horner,signature-score,core,9
1995,GoldenEye,GoldenEye,Tina Turner,title-song,core,9
1995,Toy Story,You've Got a Friend in Me,Randy Newman,signature-song,core,10
1996,Mission: Impossible,Mission: Impossible Theme,Adam Clayton & Larry Mullen Jr.,main-theme,core,10
1996,Space Jam,Space Jam,Quad City DJ's,title-song,expansion,8
1997,Men in Black,Men in Black,Will Smith,title-song,core,9
1997,The Fifth Element,The Diva Dance,Éric Serra / Inva Mula,signature-score,expansion,8
1997,Titanic,My Heart Will Go On,Céline Dion,signature-song,core,10
1998,Armageddon,I Don't Want to Miss a Thing,Aerosmith,signature-song,core,10
1998,Mulan,Reflection,Lea Salonga,signature-song,core,9
1999,Star Wars: Episode I – The Phantom Menace,Duel of the Fates,John Williams,signature-score,core,10
1999,Tarzan,You'll Be in My Heart,Phil Collins,signature-song,core,9
1999,The Matrix,Clubbed to Death (Kurayamino Variation),Rob Dougan,signature-song,core,10
2000,Gladiator,Now We Are Free,Hans Zimmer & Lisa Gerrard,signature-score,core,10
2000,Requiem for a Dream,Lux Aeterna,Clint Mansell,signature-score,core,9
2001,Harry Potter and the Philosopher's Stone,Hedwig's Theme,John Williams,main-theme,core,10
2001,Shrek,All Star,Smash Mouth,signature-song,core,10
2001,The Lord of the Rings: The Fellowship of the Ring,Concerning Hobbits,Howard Shore,signature-score,core,10
2002,8 Mile,Lose Yourself,Eminem,signature-song,core,10
2002,Spider-Man,Main Title,Danny Elfman,main-theme,core,9
2002,The Lord of the Rings: The Two Towers,The Riders of Rohan,Howard Shore,signature-score,expansion,8
2003,Kill Bill: Vol. 1,Battle Without Honor or Humanity,Tomoyasu Hotei,signature-song,core,9
2003,Pirates of the Caribbean: The Curse of the Black Pearl,He's a Pirate,Klaus Badelt,main-theme,core,10
2003,The Lord of the Rings: The Return of the King,Into the West,Annie Lennox,signature-song,core,9
2004,Shrek 2,Accidentally in Love,Counting Crows,signature-song,core,9
2004,The Incredibles,The Glory Days,Michael Giacchino,main-theme,core,9
2005,Batman Begins,Molossus,Hans Zimmer & James Newton Howard,signature-score,expansion,8
2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",The Battle,Harry Gregson-Williams,signature-score,expansion,8
2006,Casino Royale,You Know My Name,Chris Cornell,title-song,core,10
2006,Happy Feet,Song of the Heart,Prince,signature-song,expansion,8
2007,Ratatouille,Le Festin,Camille,signature-song,expansion,8
2007,Transformers,Arrival to Earth,Steve Jablonsky,signature-score,core,9
2008,Slumdog Millionaire,Jai Ho,A. R. Rahman / Sukhwinder Singh et al.,signature-song,core,9
2008,The Dark Knight,Why So Serious?,Hans Zimmer & James Newton Howard,signature-score,core,10
2009,Avatar,I See You,Leona Lewis,title-song,expansion,8
2009,Up,Married Life,Michael Giacchino,main-theme,core,10
2010,Inception,Time,Hans Zimmer,signature-score,core,10
2010,TRON: Legacy,Derezzed,Daft Punk,signature-score,core,9
2011,Drive,A Real Hero,College & Electric Youth,signature-song,core,9
2011,Harry Potter and the Deathly Hallows – Part 2,Lily's Theme,Alexandre Desplat,main-theme,expansion,8
2012,Skyfall,Skyfall,Adele,title-song,core,10
2012,The Avengers,The Avengers,Alan Silvestri,main-theme,core,10
2013,Frozen,Let It Go,Idina Menzel,signature-song,core,10
2013,Pacific Rim,Pacific Rim,Ramin Djawadi feat. Tom Morello,main-theme,expansion,8
2014,Guardians of the Galaxy,Hooked on a Feeling,Blue Swede,signature-song,core,10
2014,Interstellar,Cornfield Chase,Hans Zimmer,signature-score,core,10
2015,Mad Max: Fury Road,Brothers in Arms,Junkie XL,signature-score,core,9
2015,Star Wars: The Force Awakens,Rey's Theme,John Williams,signature-score,core,9
2016,La La Land,City of Stars,Ryan Gosling & Emma Stone,signature-song,core,10
2016,Moana,How Far I'll Go,Auliʻi Cravalho,signature-song,core,10
2017,Coco,Remember Me,Film soundtrack version TBD,signature-song,core,9
2017,The Greatest Showman,This Is Me,Keala Settle & The Greatest Showman Ensemble,signature-song,core,10
2018,Black Panther,Wakanda,Ludwig Göransson,signature-score,core,9
2018,Spider-Man: Into the Spider-Verse,Sunflower,Post Malone & Swae Lee,signature-song,core,10
2019,Avengers: Endgame,Portals,Alan Silvestri,signature-score,core,10
2019,Joker,Bathroom Dance,Hildur Guðnadóttir,signature-score,core,9
2020,Soul,Epiphany,Trent Reznor & Atticus Ross,signature-score,expansion,8
2020,Tenet,Rainy Night in Tallinn,Ludwig Göransson,signature-score,expansion,8
2021,Dune,Paul's Dream,Hans Zimmer,signature-score,core,9
2021,No Time to Die,No Time to Die,Billie Eilish,title-song,core,10
2022,Everything Everywhere All at Once,This Is a Life,"Son Lux, Mitski & David Byrne",signature-song,expansion,8
2022,The Batman,The Batman,Michael Giacchino,main-theme,core,10
2022,Top Gun: Maverick,Hold My Hand,Lady Gaga,signature-song,core,9
