answer_year,work_title,audio_title,audio_credit,relationship,priority,recognisability_0_10
1971,All in the Family,Those Were the Days,Carroll O'Connor & Jean Stapleton,main-theme,core,9
1972,M*A*S*H,Suicide Is Painless,Johnny Mandel,main-theme,core,10
1972,Sanford and Son,The Streetbeater,Quincy Jones,main-theme,core,9
1972,The Waltons,The Waltons Theme,Jerry Goldsmith,main-theme,expansion,7
1973,The Young and the Restless,Nadia's Theme,Barry De Vorzon & Perry Botkin Jr.,main-theme,expansion,8
1974,Happy Days,Happy Days,Pratt & McClain,signature-theme,core,9
1974,The Rockford Files,The Rockford Files Theme,Mike Post & Pete Carpenter,main-theme,expansion,8
1974,Little House on the Prairie,Little House on the Prairie Theme,David Rose,main-theme,expansion,7
1975,The Jeffersons,Movin' On Up,Ja'net DuBois,main-theme,core,10
1975,S.W.A.T.,Theme from S.W.A.T.,Barry De Vorzon / Rhythm Heritage,main-theme,core,9
1975,"Welcome Back, Kotter",Welcome Back,John Sebastian,main-theme,core,9
1976,Charlie's Angels,Charlie's Angels Theme,Jack Elliott & Allyn Ferguson,main-theme,core,9
1976,The Muppet Show,The Muppet Show Theme,Jim Henson & Sam Pottle,main-theme,core,10
1976,Laverne & Shirley,Making Our Dreams Come True,Cyndi Grecco,main-theme,expansion,8
1977,The Love Boat,The Love Boat,Jack Jones,main-theme,core,9
1977,CHiPs,CHiPs Theme,John Parker,main-theme,expansion,7
1978,Dallas,Dallas Theme,Jerrold Immel,main-theme,core,9
1978,Diff'rent Strokes,It Takes Diff'rent Strokes,Alan Thicke / recording TBD,main-theme,expansion,8
1978,Taxi,Angela,Bob James,main-theme,core,9
1978,WKRP in Cincinnati,WKRP in Cincinnati Theme,Steve Carlisle,main-theme,expansion,7
1979,The Dukes of Hazzard,Good Ol' Boys,Waylon Jennings,main-theme,core,9
1979,The Facts of Life,The Facts of Life,Gloria Loring,main-theme,expansion,8
1980,"Magnum, P.I.",Magnum P.I. Theme,Mike Post & Pete Carpenter,main-theme,core,9
1981,Dynasty,Dynasty Theme,Bill Conti,main-theme,expansion,8
1981,The Greatest American Hero,Believe It or Not,Joey Scarbury,main-theme,core,9
1981,Hill Street Blues,Hill Street Blues Theme,Mike Post & Larry Carlton,main-theme,expansion,8
1981,The Smurfs,The Smurfs Theme,Hoyt Curtin,main-theme,expansion,8
1982,Cheers,Where Everybody Knows Your Name,Gary Portnoy,main-theme,core,10
1982,Knight Rider,Knight Rider Theme,Stu Phillips,main-theme,core,10
1983,The A-Team,The A-Team Theme,Mike Post & Pete Carpenter,main-theme,core,10
1983,Inspector Gadget,Inspector Gadget Theme,Shuki Levy & Haim Saban,main-theme,core,10
1984,Airwolf,Airwolf Theme,Sylvester Levay,main-theme,core,9
1984,Miami Vice,Miami Vice Theme,Jan Hammer,main-theme,core,10
1984,Thomas & Friends,Thomas the Tank Engine Theme,Mike O'Donnell & Junior Campbell,main-theme,core,9
1985,Growing Pains,As Long as We Got Each Other,B. J. Thomas & Jennifer Warnes,main-theme,expansion,8
1985,The Golden Girls,Thank You for Being a Friend,Cynthia Fee,main-theme,core,10
1985,Neighbours,Neighbours,Barry Crocker,main-theme,core,10
1985,MacGyver,MacGyver Theme,Randy Edelman,main-theme,core,9
1986,Perfect Strangers,Nothing's Gonna Stop Me Now,Jesse Frederick,main-theme,expansion,7
1987,Full House,Everywhere You Look,Jesse Frederick,main-theme,core,9
1987,DuckTales,DuckTales Theme,Jeff Pescetto,main-theme,core,10
1988,Roseanne,Roseanne Theme,Dan Foliart & Howard Pearl / Snuffy Walden,main-theme,expansion,8
1988,Home and Away,Home and Away,Karen Boddington & Mark Williams,main-theme,core,10
1989,Family Matters,As Days Go By,Jesse Frederick,main-theme,expansion,8
1989,Saved by the Bell,Saved by the Bell Theme,Scott Gale / recording TBD,main-theme,core,9
1989,The Simpsons,The Simpsons Theme,Danny Elfman,main-theme,core,10
1989,Round the Twist,Have You Ever... Ever Felt Like This?,Andrew Duffield / cast recording TBD,main-theme,core,10
1990,The Fresh Prince of Bel-Air,Yo Home to Bel-Air,DJ Jazzy Jeff & The Fresh Prince,main-theme,core,10
1990,Twin Peaks,Falling / Twin Peaks Theme,Angelo Badalamenti / Julee Cruise,main-theme,core,10
1990,"Beverly Hills, 90210","Beverly Hills, 90210 Theme",John E. Davis,main-theme,expansion,8
1991,Rugrats,Rugrats Theme,Mark Mothersbaugh,main-theme,core,9
1992,Batman: The Animated Series,Batman: The Animated Series Theme,Danny Elfman / Shirley Walker,main-theme,core,10
1992,Bananas in Pyjamas,Bananas in Pyjamas,Carey Blyton / recording TBD,main-theme,core,9
1993,The Nanny,The Nanny Named Fran,Ann Hampton Callaway,main-theme,core,9
1993,Frasier,Tossed Salads and Scrambled Eggs,Kelsey Grammer,main-theme,core,9
1993,The X-Files,The X-Files Theme,Mark Snow,main-theme,core,10
1994,Friends,I'll Be There for You,The Rembrandts,main-theme,core,10
1994,ER,Theme from ER,James Newton Howard,main-theme,expansion,8
1994,Heartbreak High,Heartbreak High Theme,Todd Hunter / recording TBD,main-theme,expansion,8
1995,Xena: Warrior Princess,Xena: Warrior Princess Theme,Joseph LoDuca,main-theme,core,9
1996,Arthur,Believe in Yourself,Ziggy Marley & The Melody Makers,main-theme,core,9
1996,Everybody Loves Raymond,Everybody Loves Raymond Theme,Rick Marotta / recording TBD,main-theme,expansion,7
1997,Buffy the Vampire Slayer,Buffy the Vampire Slayer Theme,Nerf Herder,main-theme,core,10
1997,South Park,South Park Theme,Primus,main-theme,core,10
1997,Teletubbies,Teletubbies Say 'Eh-oh!',Teletubbies cast / Andrew McCrorie-Shand,main-theme,core,9
1997,Pokémon,Pokémon Theme,Jason Paige,signature-theme,core,10
1998,Dawson's Creek,I Don't Want to Wait,Paula Cole,main-theme,core,9
1998,Sex and the City,Sex and the City Theme,Douglas J. Cuomo,main-theme,core,9
1998,That '70s Show,In the Street,Cheap Trick,main-theme,core,9
1999,The Sopranos,Woke Up This Morning (Chosen One Mix),Alabama 3,main-theme,core,10
1999,SpongeBob SquarePants,SpongeBob SquarePants Theme Song,Painty the Pirate / cast recording TBD,main-theme,core,10
1999,Futurama,Futurama Theme,Christopher Tyng,main-theme,core,9
1999,Family Guy,Family Guy Theme,Walter Murphy / cast,main-theme,core,9
2000,Malcolm in the Middle,Boss of Me,They Might Be Giants,main-theme,core,10
2000,Curb Your Enthusiasm,Frolic,Luciano Michelini,main-theme,core,9
2001,Scrubs,Superman,Lazlo Bane,main-theme,core,9
2001,Smallville,Save Me,Remy Zero,main-theme,core,9
2002,The Wire,Way Down in the Hole,The Blind Boys of Alabama,season-1-theme,core,9
2002,Firefly,The Ballad of Serenity,Sonny Rhodes,main-theme,core,9
2002,Kath & Kim,The Joker,Gina Riley / opening recording TBD,main-theme,expansion,8
2003,The O.C.,California,Phantom Planet,main-theme,core,10
2003,Arrested Development,Arrested Development Theme,David Schwartz,main-theme,expansion,8
2004,House,Teardrop,Massive Attack,main-theme,core,10
2004,Lost,Main Title,Michael Giacchino,main-theme,expansion,8
2004,Desperate Housewives,Desperate Housewives Theme,Danny Elfman,main-theme,expansion,8
2005,The Office (US),The Office Theme,Jay Ferguson / The Scrantones,main-theme,core,10
2005,How I Met Your Mother,Hey Beautiful,The Solids,main-theme,core,9
2005,It's Always Sunny in Philadelphia,Temptation Sensation,Heinz Kiessling,main-theme,expansion,8
2006,Dexter,Dexter Main Title,Rolfe Kent,main-theme,core,9
2006,Psych,I Know You Know,The Friendly Indians,main-theme,expansion,8
2006,30 Rock,30 Rock Theme,Jeff Richmond,main-theme,expansion,8
2007,The Big Bang Theory,The History of Everything / Big Bang Theory Theme,Barenaked Ladies,main-theme,core,10
2007,Mad Men,A Beautiful Mine,RJD2,main-theme,core,9
2008,Breaking Bad,Breaking Bad Theme,Dave Porter,main-theme,core,10
2008,True Blood,Bad Things,Jace Everett,main-theme,core,9
2009,Community,At Least It Was Here,The 88,main-theme,core,9
2009,Parks and Recreation,Parks and Recreation Theme,Gaby Moreno & Vincent Jones,main-theme,core,9
2010,Sherlock,Opening Titles,David Arnold & Michael Price,main-theme,core,9
2010,Downton Abbey,Did I Make the Most of Loving You? / Main Theme,John Lunn,main-theme,expansion,8
2011,Game of Thrones,Main Title,Ramin Djawadi,main-theme,core,10
2011,Suits,Greenback Boogie,Ima Robot,main-theme,core,9
2012,Veep,Veep Main Title Theme,Christopher Willis,main-theme,expansion,8
2012,Call the Midwife,Call the Midwife Theme,Peter Salem / recording TBD,main-theme,expansion,7
2013,Brooklyn Nine-Nine,Brooklyn Nine-Nine Theme,Dan Marocco,main-theme,core,9
2013,Orange Is the New Black,You've Got Time,Regina Spektor,main-theme,core,9
2013,Vikings,If I Had a Heart,Fever Ray,main-theme,core,9
2014,BoJack Horseman,BoJack Horseman Theme,Patrick Carney feat. Ralph Carney,main-theme,core,9
2014,True Detective,Far from Any Road,The Handsome Family,season-1-theme,core,9
2015,Better Call Saul,Better Call Saul Main Title Theme,Little Barrie,main-theme,core,9
2015,Narcos,Tuyo,Rodrigo Amarante,main-theme,core,9
2015,Unbreakable Kimmy Schmidt,Unbreakable,Jeff Richmond / cast,main-theme,expansion,8
2015,Crazy Ex-Girlfriend,I'm Just a Girl in Love / season 1 title,Rachel Bloom / Adam Schlesinger / Jack Dolgen,season-1-theme,expansion,8
2016,Stranger Things,Stranger Things,Kyle Dixon & Michael Stein,main-theme,core,10
2016,Westworld,Main Title Theme – Westworld,Ramin Djawadi,main-theme,core,9
2017,Big Little Lies,Cold Little Heart,Michael Kiwanuka,main-theme,core,9
2017,Money Heist,My Life Is Going On,Cecilia Krull,main-theme,core,9
2018,Bluey,Bluey Theme Tune,Joff Bush,main-theme,core,10
2018,Succession,Succession Main Title Theme,Nicholas Britell,main-theme,core,10
2019,The Mandalorian,The Mandalorian,Ludwig Göransson,main-theme,core,10
2019,Euphoria,All for Us / score theme candidate,Labrinth / recording TBD,signature-theme,expansion,7
2020,Ted Lasso,Ted Lasso Theme,Marcus Mumford & Tom Howe,main-theme,core,9
2020,Bridgerton,Bridgerton Main Title,Kris Bowers,main-theme,expansion,8
2021,Squid Game,Way Back Then,Jung Jae-il,signature-score,core,9
2021,Loki,TVA / main title candidate,Natalie Holt,signature-score,expansion,8
2021,Arcane,Enemy,Imagine Dragons & JID,main-theme,core,10
2022,Severance,Main Titles,Theodore Shapiro,main-theme,core,9
2022,House of the Dragon,Main Title,Ramin Djawadi,main-theme,core,9
2022,Wednesday,Main Titles,Danny Elfman,main-theme,core,9
